student_id,course_id,dAte,status
S001,CS101,2024-09-01,Present
S001,CS101,2024-09-03,Present
S001,CS101,2024-09-05,Absent
S001,CS101,2024-09-08,Present
S001,CS101,2024-09-10,Present
S001,CS201,2024-09-02,Present
S001,CS201,2024-09-04,Present
S001,CS201,2024-09-09,Absent
S001,CS201,2024-09-11,Present
S001,CS301,2024-09-01,Present
S001,CS301,2024-09-06,Present
S001,CS301,2024-09-08,Present
S002,CS201,2024-09-02,Present
S002,CS201,2024-09-04,Present
S002,CS201,2024-09-09,Present
S002,CS201,2024-09-11,Present
S002,CS301,2024-09-01,Absent
S002,CS301,2024-09-06,Present
S002,CS301,2024-09-08,Present
S002,CS401,2024-09-03,Present
S002,CS401,2024-09-05,Present
S002,CS401,2024-09-10,Present
S003,EE101,2024-09-02,Present
S003,EE101,2024-09-04,Absent
S003,EE101,2024-09-09,Present
S003,EE201,2024-09-03,Present
S003,EE201,2024-09-05,Present
S003,EE201,2024-09-10,Absent
S003,CS101,2024-09-01,Present
S003,CS101,2024-09-03,Present
S003,CS101,2024-09-05,Present
S004,CS101,2024-09-01,Absent
S004,CS101,2024-09-03,Absent
S004,CS101,2024-09-05,Present
S004,CS101,2024-09-08,Present
S004,CS102,2024-09-02,Present
S004,CS102,2024-09-04,Present
S004,CS102,2024-09-09,Present
S005,ME101,2024-09-01,Present
S005,ME101,2024-09-03,Present
S005,ME101,2024-09-08,Present
S005,ME201,2024-09-02,Present
S005,ME201,2024-09-04,Absent
S005,ME201,2024-09-09,Present
S005,CS101,2024-09-01,Present
S005,CS101,2024-09-03,Present
S006,CS101,2024-09-01,Present
S006,CS101,2024-09-03,Present
S006,CS101,2024-09-05,Present
S006,CS101,2024-09-08,Present
S006,CS201,2024-09-02,Present
S006,CS201,2024-09-04,Present
S006,CS201,2024-09-09,Absent
S006,CS202,2024-09-03,Present
S006,CS202,2024-09-05,Present
S007,EE101,2024-09-02,Absent
S007,EE101,2024-09-04,Absent
S007,EE101,2024-09-09,Present
S007,EE201,2024-09-03,Present
S007,EE201,2024-09-05,Present
S007,CS102,2024-09-02,Present
S007,CS102,2024-09-04,Present
S008,CS301,2024-09-01,Present
S008,CS301,2024-09-06,Present
S008,CS301,2024-09-08,Present
S008,CS401,2024-09-03,Present
S008,CS401,2024-09-05,Present
S008,CS401,2024-09-10,Present
S008,CS202,2024-09-03,Present
S008,CS202,2024-09-05,Absent
S008,CS201,2024-09-02,Present
S008,CS201,2024-09-04,Present
S009,ME101,2024-09-01,Present
S009,ME101,2024-09-03,Absent
S009,ME101,2024-09-08,Absent
S009,CS101,2024-09-01,Present
S009,CS101,2024-09-03,Present
S010,EE101,2024-09-02,Present
S010,EE101,2024-09-04,Present
S010,EE101,2024-09-09,Present
S010,EE201,2024-09-03,Present
S010,EE201,2024-09-05,Present
S010,CS201,2024-09-02,Present
S010,CS201,2024-09-04,Present
S011,CS101,2024-09-01,Present
S011,CS101,2024-09-03,Absent
S011,CS101,2024-09-05,Present
S011,CS101,2024-09-08,Present
S011,CS201,2024-09-02,Present
S011,CS201,2024-09-04,Present
S011,CS102,2024-09-02,Present
S011,CS102,2024-09-04,Absent
S012,CS101,2024-09-01,Present
S012,CS101,2024-09-03,Present
S012,CS101,2024-09-05,Present
S012,CS102,2024-09-02,Present
S012,CS102,2024-09-04,Present
S013,ME101,2024-09-01,Present
S013,ME101,2024-09-03,Present
S013,ME101,2024-09-08,Absent
S013,ME201,2024-09-02,Present
S013,ME201,2024-09-04,Present
S013,CS101,2024-09-01,Present
S013,CS101,2024-09-03,Present
S014,EE101,2024-09-02,Present
S014,EE101,2024-09-04,Present
S014,EE101,2024-09-09,Present
S014,EE201,2024-09-03,Absent
S014,EE201,2024-09-05,Present
S014,CS301,2024-09-01,Present
S014,CS301,2024-09-06,Present
S015,CS301,2024-09-01,Present
S015,CS301,2024-09-06,Present
S015,CS301,2024-09-08,Present
S015,CS401,2024-09-03,Present
S015,CS401,2024-09-05,Absent
S015,CS401,2024-09-10,Present
S015,CS202,2024-09-03,Present
S015,CS202,2024-09-05,Present
S016,CS101,2024-09-01,Absent
S016,CS101,2024-09-03,Absent
S016,CS101,2024-09-05,Absent
S016,CS101,2024-09-08,Present
S016,CS201,2024-09-02,Present
S016,CS201,2024-09-04,Present
S016,CS301,2024-09-01,Present
S016,CS301,2024-09-06,Present
S017,EE101,2024-09-02,Present
