student_id,course_id,semester
S001,CS101,Fall2024
S001,CS201,Fall2024
S001,CS301,Fall2024
S002,CS201,Fall2024
S002,CS301,Fall2024
S002,CS401,Fall2024
S003,EE101,Fall2024
S003,EE201,Fall2024
S003,CS101,Fall2024
S004,CS101,Fall2024
S004,CS102,Fall2024
S005,ME101,Fall2024
S005,ME201,Fall2024
S005,CS101,Fall2024
S006,CS101,Fall2024
S006,CS201,Fall2024
S006,CS202,Fall2024
S007,EE101,Fall2024
S007,EE201,Fall2024
S007,CS102,Fall2024
S008,CS301,Fall2024
S008,CS401,Fall2024
S008,CS202,Fall2024
S008,CS201,Fall2024
S009,ME101,Fall2024
S009,CS101,Fall2024
S010,EE101,Fall2024
S010,EE201,Fall2024
S010,CS201,Fall2024
S011,CS101,Fall2024
S011,CS201,Fall2024
S011,CS102,Fall2024
S012,CS101,Fall2024
S012,CS102,Fall2024
S013,ME101,Fall2024
S013,ME201,Fall2024
S013,CS101,Fall2024
S014,EE101,Fall2024
S014,EE201,Fall2024
S014,CS301,Fall2024
S015,CS301,Fall2024
S015,CS401,Fall2024
S015,CS202,Fall2024
S016,CS101,Fall2024
S016,CS201,Fall2024
S016,CS301,Fall2024
S017,EE101,Fall2024
S017,CS101,Fall2024
S018,ME101,Fall2024
S018,ME201,Fall2024
S018,CS202,Fall2024
S019,CS101,Fall2024
S019,CS201,Fall2024
S019,CS102,Fall2024
S020,CS201,Fall2024
S020,CS301,Fall2024
S020,CS401,Fall2024
S021,EE101,Fall2024
S021,EE201,Fall2024
S021,CS101,Fall2024
S022,CS101,Fall2024
S022,CS102,Fall2024
S023,ME101,Fall2024
S023,ME201,Fall2024
S023,CS101,Fall2024
S024,EE101,Fall2024
S024,EE201,Fall2024
S024,CS401,Fall2024
S024,CS202,Fall2024
S025,CS201,Fall2024
S025,CS301,Fall2024
S025,CS401,Fall2024
S026,CS101,Fall2024
S026,CS201,Fall2024
S026,CS102,Fall2024
S027,EE101,Fall2024
S027,CS101,Fall2024
S028,ME101,Fall2024
S028,ME201,Fall2024
S028,CS201,Fall2024
S029,CS301,Fall2024
S029,CS401,Fall2024
S029,CS202,Fall2024
S030,CS101,Fall2024
S030,CS201,Fall2024
S030,CS301,Fall2024
S031,EE101,Fall2024
S031,EE201,Fall2024
S031,CS202,Fall2024
S032,CS101,Fall2024
S032,CS102,Fall2024
S033,ME101,Fall2024
S033,ME201,Fall2024
S033,CS101,Fall2024
S034,EE101,Fall2024
S034,EE201,Fall2024
S034,CS101,Fall2024
S035,CS201,Fall2024
S035,CS301,Fall2024
S035,CS401,Fall2024
S036,CS301,Fall2024
S036,CS401,Fall2024
S036,CS202,Fall2024
S037,EE101,Fall2024
S037,CS101,Fall2024
S038,ME101,Fall2024
S038,ME201,Fall2024
S038,CS202,Fall2024
S039,CS101,Fall2024
S039,CS201,Fall2024
S039,CS102,Fall2024
S040,CS101,Fall2024
S040,CS102,Fall2024
